Source,ID,Title,Publication_type,Journal,Year_publication,Doi,Geography,Higher_geography,H_5,Year_study,Species_name,Genus,Species,Subspecies,Family,weight_bat_reported,weight_bat_mean,weight_bat_min,weight_bat_max,Type_device,Device_type_category,kind_device,VHF,device_weight_reported,weight_device,weight_device_min,weight_device_max,device_over5,device_%,device_%_min,device_%_max,Contact_authors,Authors_reply,Assignment,Validation
Omara_et_al_2014,Other_Omara_059,When do Daubenton's bats (Myotis daubentonii) fly far for dinner?,Research,CANADIAN JOURNAL OF ZOOLOGY,2010,http://dx.doi.org/10.1139/Z10-085,Germany,Palearctic,NA,2000-2004,Myotis daubentonii,Myotis,daubentonii,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil LB-2,Yes,Yes,0.2,0.2,0.2,Unknown,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_059,When do Daubenton's bats (Myotis daubentonii) fly far for dinner?,Research,CANADIAN JOURNAL OF ZOOLOGY,2010,http://dx.doi.org/10.1139/Z10-085,Germany,Palearctic,NA,2000-2004,Myotis daubentonii,Myotis,daubentonii,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil LB-2,Yes,Yes,0.4,0.4,0.4,Unknown,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_059,When do Daubenton's bats (Myotis daubentonii) fly far for dinner?,Research,CANADIAN JOURNAL OF ZOOLOGY,2010,http://dx.doi.org/10.1139/Z10-085,Germany,Palearctic,NA,2000-2004,Myotis daubentonii,Myotis,daubentonii,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil LB-2,Yes,Yes,0.4,0.4,0.4,Unknown,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_060,"Habitat exploitation by a gleaning bat, plecotus auritus",Research,Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences,1996,https://doi.org/10.1098/rstb.1996.0085,"Scotland, UK",Palearctic,Yes,1992-1993,Plecotus auritus,Plecotus,auritus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.65,0.65,0.65,Yes,NA,6.4,9.5,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_060,"Habitat exploitation by a gleaning bat, plecotus auritus",Research,Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences,1996,https://doi.org/10.1098/rstb.1996.0085,"Scotland, UK",Palearctic,Yes,1992-1993,Plecotus auritus,Plecotus,auritus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.65,0.65,0.65,Yes,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_060,"Habitat exploitation by a gleaning bat, plecotus auritus",Research,Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences,1996,https://doi.org/10.1098/rstb.1996.0085,"Scotland, UK",Palearctic,Yes,1992-1993,Plecotus auritus,Plecotus,auritus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.65,0.65,0.65,Yes,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_061,"Roosting behaviour of the greater noctule nyctalus lasiopterus schreber, 1780 (chiroptera, vespertilionidae) in hungary as revealed by radio-tracking",Research,Mammalia,2007,https://doi.org/10.1515/MAMM.2007.007,Hungary,Palearctic,No,2005,Nyctalus lasiopterus,Nyctalus,lasiopterus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil LB-2N,Yes,Yes,0.37,0.37,0.37,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_061,"Roosting behaviour of the greater noctule nyctalus lasiopterus schreber, 1780 (chiroptera, vespertilionidae) in hungary as revealed by radio-tracking",Research,Mammalia,2007,https://doi.org/10.1515/MAMM.2007.007,Hungary,Palearctic,No,2004,Nyctalus lasiopterus,Nyctalus,lasiopterus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2N,Yes,Yes,0.43,0.43,0.43,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_062,Roosting requirements of two frugivorous bats (sturnira lilium and arbiteus intermedius) in fragmented neotropical forest,Research,Biotropica,2003,https://doi.org/10.1111/j.1744-7429.2003.tb00594.x,"Campeche, Mexico",Neotropical,No,1999-2000,Artibeus lituratus,Artibeus,lituratus,NA,Phyllostomidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,0.8,0.8,0.8,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_062,Roosting requirements of two frugivorous bats (sturnira lilium and arbiteus intermedius) in fragmented neotropical forest,Research,Biotropica,2003,https://doi.org/10.1111/j.1744-7429.2003.tb00594.x,"Campeche, Mexico",Neotropical,No,1999-2000,Sturnira lilium,Sturnira,lilium,NA,Phyllostomidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,0.8,0.8,0.8,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_063,Conservation of bats in suburban landscapes: Roost selection by Myotis yumanensis in a residential area in california,Research,Biological Conservation,2004,https://doi.org/10.1016/S0006-3207(03)00163-0,"California, USA",Nearctic,Yes,2000,Myotis yumanensis,Myotis,yumanensis,NA,Vespertilionidae,Yes,NA,6,7,VHF transmitter,VHF transmitter,Holohil LB-2,Yes,Yes,0.48,0.48,0.48,Yes,NA,6.9,8,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_064,Bat use of a high-plains urban wildlife refuge,Research,Wildlife Society Bulletin,2001,https://www.jstor.org/stable/3784424,"Colorado, USA",Nearctic,Yes,1998,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.53,0.78,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_065,HABITAT USE AND FORAGING BEHAVIOR OF TOWNSEND’S BIG-EARED BAT (CORYNORHINUS TOWNSENDII) IN COASTAL CALIFORNIA,Research,Journal of Mammalogy,2002,https://doi.org/10.1644/1545-1542(2002)083<0167:HUAFBO>2.0.CO;2,"California, USA",Nearctic,No,1997,Corynorhinus townsendii,Corynorhinus,townsendii,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil LB-2,Yes,Yes,0.44,0.44,0.44,No,NA,3.5,4.7,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_066,"Activity patterns and roost selection by Noctilio-albiventris (chiroptera, noctilionidae) in costa-rica",Research,Journal of Mammalogy,1993,https://doi.org/10.2307/1382280,"Guanacaste, Costa Rica",Neotropical,No,1992,Noctilio albiventris,Noctilio,albiventris,NA,Noctilionidae,Yes,NA,29,33,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.9,0.9,0.9,No,NA,2.7,3.1,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_067,Roosts used by Chiroptera : Phyllostomidae Sturnira lilium in Belize,Research,Biotropica,2000,https://doi.org/10.1111/j.1744-7429.2000.tb00521.x,Belize,Neotropical,No,1999,Sturnira lilium,Sturnira,lilium,NA,Phyllostomidae,Yes,15,13,16,VHF transmitter,VHF transmitter,Holohil LB-2,Yes,Yes,0.47,0.47,0.47,No,3.2,3,3.6,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_067,Roosts used by Chiroptera : Phyllostomidae Sturnira lilium in Belize,Research,Biotropica,2000,https://doi.org/10.1111/j.1744-7429.2000.tb00521.x,Belize,Neotropical,No,1999,Sturnira lilium,Sturnira,lilium,NA,Phyllostomidae,Yes,15,13,18,VHF transmitter,VHF transmitter,Holohil LB-2,Yes,Yes,0.47,0.47,0.47,No,3.2,2.7,3.7,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_067,Roosts used by Chiroptera : Phyllostomidae Sturnira lilium in Belize,Research,Biotropica,2000,https://doi.org/10.1111/j.1744-7429.2000.tb00521.x,Belize,Neotropical,No,1999,Sturnira lilium,Sturnira,lilium,NA,Phyllostomidae,Yes,13,13,13,VHF transmitter,VHF transmitter,Holohil LB-2,Yes,Yes,0.47,0.47,0.47,No,3.8,3.8,3.8,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_068,"Foraging behavior and prey selection by large slit-faced bats (nycteris-grandis, chiroptera, nycteridae)",Research,Biotropica,1990,https://doi.org/10.2307/2388713,"Zambezi, Zimbabwe",Afrotropical,No,1987,Nycteris grandis,Nycteris,grandis,NA,Nycteridae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD1,Yes,Yes,0.9,0.9,0.9,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_069,Habitat selection by geoffroy’s bats (Myotis emarginatus) in a rural mediterranean landscape: Implications for conservation,Research,Acta Chiropterologica,2008,https://doi.org/10.3161/150811008X331090,"Catalonia, Spain",Palearctic,Yes,2004-2006,Myotis emarginatus,Myotis,emarginatus,NA,Vespertilionidae,Yes,8,8,9,VHF transmitter,VHF transmitter,Biotrack PipII,Yes,Yes,0.45,0.45,0.45,Yes,NA,5.1,5.8,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_069,Habitat selection by geoffroy’s bats (Myotis emarginatus) in a rural mediterranean landscape: Implications for conservation,Research,Acta Chiropterologica,2008,https://doi.org/10.3161/150811008X331090,"Catalonia, Spain",Palearctic,Yes,2004-2006,Myotis emarginatus,Myotis,emarginatus,NA,Vespertilionidae,Yes,8,8,8,VHF transmitter,VHF transmitter,Biotrack PipII,Yes,Yes,0.45,0.45,0.45,Yes,6,6,6,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_069,Habitat selection by geoffroy’s bats (Myotis emarginatus) in a rural mediterranean landscape: Implications for conservation,Research,Acta Chiropterologica,2008,https://doi.org/10.3161/150811008X331090,"Catalonia, Spain",Palearctic,Yes,2004-2006,Myotis emarginatus,Myotis,emarginatus,NA,Vespertilionidae,Yes,7,6,8,VHF transmitter,VHF transmitter,Biotrack PipII,Yes,Yes,0.45,0.45,0.45,Yes,NA,5.8,7,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_070,Habitat selection in nathusius’ pipistrelle (pipistrellus nathusii): The importance of wetlands,Research,Acta Chiropterologica,2009,https://doi.org/10.3161/150811009X465767,"Catalonia, Spain",Palearctic,Yes,2004-2006,Pipistrellus nathusii,Pipistrellus,nathusii,NA,Vespertilionidae,Yes,7,6,8,VHF transmitter,VHF transmitter,Biotrack,Yes,Yes,0.4,0.4,0.4,Yes,NA,5.1,6.5,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_070,Habitat selection in nathusius’ pipistrelle (pipistrellus nathusii): The importance of wetlands,Research,Acta Chiropterologica,2009,https://doi.org/10.3161/150811009X465767,"Catalonia, Spain",Palearctic,Yes,2004-2006,Pipistrellus nathusii,Pipistrellus,nathusii,NA,Vespertilionidae,Yes,7,6,7,VHF transmitter,VHF transmitter,Biotrack,Yes,Yes,0.4,0.4,0.4,Yes,NA,5.9,6.5,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_071,Seasonal foraging behavior of the frugivorous bat Carollia perspicillata,Research,Journal of Mammalogy,1986,https://doi.org/10.2307/1381127,"Guanacaste, Costa Rica",Neotropical,Yes,1977-1978,Carollia perspicillata,Carollia,perspicillata,NA,Phyllostomidae,Yes,NA,17,24,VHF transmitter,VHF transmitter,AVM SM-1,Yes,Yes,2,2,2,Yes,NA,8.3,11.8,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_071,Seasonal foraging behavior of the frugivorous bat Carollia perspicillata,Research,Journal of Mammalogy,1986,https://doi.org/10.2307/1381127,"Guanacaste, Costa Rica",Neotropical,Yes,1977-1978,Carollia perspicillata,Carollia,perspicillata,NA,Phyllostomidae,Yes,NA,17,24,VHF transmitter,VHF transmitter,AVM SM-1,Yes,Yes,2,2,2,Yes,NA,8.3,11.8,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_072,"Robinia pseudoacacia (black locust) as day-roosts of male Myotis septentrionalis (northern bats) on the fernow experimental forest, West virginia",Research,Northeastern Naturalist,2006,https://doi.org/10.1656/1092-6194(2006)13[15:RPBLAD]2.0.CO;2,"West Virginia, USA",Nearctic,Yes,2003,Myotis septentrionalis,Myotis,septentrionalis,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil LB-2,Yes,Yes,NA,0.46,0.54,Yes,8.4,8.4,8.4,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_073,Maternity roosts and behaviour of the ussurian tube-nosed bat murina ussuriensis,Research,Acta Chiropterologica,2012,https://doi.org/10.3161/150811012X654303,"Yakushima, Japan",Palearctic,Yes,2009,Murina ussuriensis,Murina,ussuriensis,NA,Vespertilionidae,Yes,8,7,9,VHF transmitter,VHF transmitter,Biotrack Pip3,Yes,Yes,0.45,0.45,0.45,Yes,NA,5.2,6.3,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_074,The effect of lunar illumination on movement and activity of the red fig-eating bat (stenoderma rufum),Research,Biotropica,1997,https://www.jstor.org/stable/2388947,Puerto Rico,Neotropical,No,1989,Stenoderma rufum,Stenoderma,rufum,NA,Phyllostomidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2,Yes,Yes,1.2,1.2,1.2,No,5,5,5,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_075,Torpor and activity in a free-ranging tropical bat: Implications for the distribution and conservation of mammals?,Research,Naturwissenschaften,2011,https://doi.org/10.1007/s00114-011-0779-y,"Northern Territory, Australia",Australasian,Yes,2010,Nyctophilus geoffroyi,Nyctophilus,geoffroyi,NA,Vespertilionidae,Yes,8,NA,NA,VHF transmitter,VHF transmitter,Holohil LB-2NT,Yes,Yes,0.6,0.6,0.6,Yes,7.7,NA,7.7,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_076,Seasonal foraging by rhinolophus euryale (rhinolophidae) in an atlantic rural landscape in northern iberian peninsula,Research,Acta Chiropterologica,2006,https://doi.org/10.3161/150811006777070776,"Basque Contry, Spain",Palearctic,NA,2001 ; 2003,Rhinolophus euryale,Rhinolophus,euryale,NA,Rhinolophidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Biotrack PipII,Yes,Yes,0.35,0.35,0.35,Unknown,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_076,Seasonal foraging by rhinolophus euryale (rhinolophidae) in an atlantic rural landscape in northern iberian peninsula,Research,Acta Chiropterologica,2006,https://doi.org/10.3161/150811006777070776,"Basque Contry, Spain",Palearctic,NA,2001 ; 2003,Rhinolophus euryale,Rhinolophus,euryale,NA,Rhinolophidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Biotrack PipII,Yes,Yes,0.35,0.35,0.35,Unknown,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_076,Seasonal foraging by rhinolophus euryale (rhinolophidae) in an atlantic rural landscape in northern iberian peninsula,Research,Acta Chiropterologica,2006,https://doi.org/10.3161/150811006777070776,"Basque Contry, Spain",Palearctic,NA,2001 ; 2003,Rhinolophus euryale,Rhinolophus,euryale,NA,Rhinolophidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Biotrack PipII,Yes,Yes,0.45,0.45,0.45,Unknown,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_076,Seasonal foraging by rhinolophus euryale (rhinolophidae) in an atlantic rural landscape in northern iberian peninsula,Research,Acta Chiropterologica,2006,https://doi.org/10.3161/150811006777070776,"Basque Contry, Spain",Palearctic,NA,2001 ; 2003,Rhinolophus euryale,Rhinolophus,euryale,NA,Rhinolophidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Biotrack PipII,Yes,Yes,NA,0.45,0.55,Unknown,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_076,Seasonal foraging by rhinolophus euryale (rhinolophidae) in an atlantic rural landscape in northern iberian peninsula,Research,Acta Chiropterologica,2006,https://doi.org/10.3161/150811006777070776,"Basque Contry, Spain",Palearctic,NA,2001 ; 2003,Rhinolophus euryale,Rhinolophus,euryale,NA,Rhinolophidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Biotrack PipII,Yes,Yes,NA,0.45,0.55,Unknown,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_077,Characteristics of tree roosts of rafinesque’s big-eared bat and southeastern bat in northeastern louisiana,Research,The Southwestern Naturalist,2004,https://www.jstor.org/stable/3672267,"Louisiana, USA",Nearctic,No,2000,Corynorhinus rafinesquii,Corynorhinus,rafinesquii,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Wildlife Materials,Yes,Yes,0.6,0.6,0.6,No,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_077,Characteristics of tree roosts of rafinesque’s big-eared bat and southeastern bat in northeastern louisiana,Research,The Southwestern Naturalist,2004,https://www.jstor.org/stable/3672267,"Louisiana, USA",Nearctic,No,2000,Corynorhinus rafinesquii,Corynorhinus,rafinesquii,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Wildlife Materials,Yes,Yes,0.6,0.6,0.6,No,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_078,"Activity patterns of long-tailed bats (chalinolobus tuberculatus) in a rural landscape, south canterbury, new zealand",Research,New Zealand Journal of Zoology,2007,https://doi.org/10.1080/03014220709510083,"South Canterbury, New Zealand",Australasian,Yes,1995,Chalinolobus tuberculatus,Chalinolobus,tuberculatus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,0.75,0.75,0.75,Yes,NA,5.8,7.8,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_078,"Activity patterns of long-tailed bats (chalinolobus tuberculatus) in a rural landscape, south canterbury, new zealand",Research,New Zealand Journal of Zoology,2007,https://doi.org/10.1080/03014220709510083,"South Canterbury, New Zealand",Australasian,Yes,1995,Chalinolobus tuberculatus,Chalinolobus,tuberculatus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,0.75,0.75,0.75,Yes,NA,8.3,9.7,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_079,Sex-differences in the use of daily torpor and foraging time by big brown bats (eptesicus-fuscus) during the reproductive season,Research,Journal of Zoology,1995,https://doi.org/10.1111/j.1469-7998.1995.tb05146.x,"Alberta, Canada",Nearctic,Yes,1991-1992,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.9,NA,NA,Some,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_079,Sex-differences in the use of daily torpor and foraging time by big brown bats (eptesicus-fuscus) during the reproductive season,Research,Journal of Zoology,1995,https://doi.org/10.1111/j.1469-7998.1995.tb05146.x,"Alberta, Canada",Nearctic,Yes,1991-1992,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.9,NA,NA,Some,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_079,Sex-differences in the use of daily torpor and foraging time by big brown bats (eptesicus-fuscus) during the reproductive season,Research,Journal of Zoology,1995,https://doi.org/10.1111/j.1469-7998.1995.tb05146.x,"Alberta, Canada",Nearctic,Yes,1991-1992,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.9,NA,NA,Some,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_080,"Diurnal home range and roosting trees of a maternity colony of pteropus vampyrus natunae (chiroptera : Pteropodidae) in sedilu, sarawak",Research,Journal of Tropical Ecology,2004,https://doi.org/10.1017/S0266467403001275,"Sarawak, Malaysia",Indomalayan,No,1999-2000,Pteropus vampyrus natunae,Pteropus,vampyrus,natunae,Pteropodidae,Yes,NA,330,350,VHF transmitter,VHF transmitter,Sirtrack BE10-18,Yes,Yes,10,10,10,No,3,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_080,"Diurnal home range and roosting trees of a maternity colony of pteropus vampyrus natunae (chiroptera : Pteropodidae) in sedilu, sarawak",Research,Journal of Tropical Ecology,2004,https://doi.org/10.1017/S0266467403001275,"Sarawak, Malaysia",Indomalayan,No,1999-2000,Pteropus vampyrus natunae,Pteropus,vampyrus,natunae,Pteropodidae,Yes,NA,330,350,VHF transmitter,VHF transmitter,Sirtrack BE10-18,Yes,Yes,10,10,10,No,3,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_080,"Diurnal home range and roosting trees of a maternity colony of pteropus vampyrus natunae (chiroptera : Pteropodidae) in sedilu, sarawak",Research,Journal of Tropical Ecology,2004,https://doi.org/10.1017/S0266467403001275,"Sarawak, Malaysia",Indomalayan,No,1999-2000,Pteropus vampyrus natunae,Pteropus,vampyrus,natunae,Pteropodidae,Yes,NA,NA,>550,VHF transmitter,VHF transmitter,Sirtrack BE10-18,Yes,Yes,16,16,16,No,<3,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_080,"Diurnal home range and roosting trees of a maternity colony of pteropus vampyrus natunae (chiroptera : Pteropodidae) in sedilu, sarawak",Research,Journal of Tropical Ecology,2004,https://doi.org/10.1017/S0266467403001275,"Sarawak, Malaysia",Indomalayan,No,1999-2000,Pteropus vampyrus natunae,Pteropus,vampyrus,natunae,Pteropodidae,Yes,NA,NA,>550,VHF transmitter,VHF transmitter,Sirtrack BE10-18,Yes,Yes,16,16,16,No,<3,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_081,Patterns of daily torpor and day-roost selection by male and female big brown bats (eptesicus-fuscus),Research,Canadian Journal of Zoology,1994,https://doi.org/10.1139/z94-100,"Alberta, Canada",Nearctic,No,1991-1993,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.8,0.9,No,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_081,Patterns of daily torpor and day-roost selection by male and female big brown bats (eptesicus-fuscus),Research,Canadian Journal of Zoology,1994,https://doi.org/10.1139/z94-100,"Alberta, Canada",Nearctic,No,1991-1993,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.8,0.9,No,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_081,Patterns of daily torpor and day-roost selection by male and female big brown bats (eptesicus-fuscus),Research,Canadian Journal of Zoology,1994,https://doi.org/10.1139/z94-100,"Alberta, Canada",Nearctic,No,1991-1993,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.8,0.9,No,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_082,Ontogenetic influences on foraging and mass accumulation by big brown bats (eptesicus fuscus),Research,Journal of Animal Ecology,1998,https://doi.org/10.1046/j.1365-2656.1998.6760930.x,"Alberta, Canada",Nearctic,No,1994-1995,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2 ; Holohil BD-2/B ; Holohil BD-2T,Yes,Yes,NA,0.67,0.9,No,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_082,Ontogenetic influences on foraging and mass accumulation by big brown bats (eptesicus fuscus),Research,Journal of Animal Ecology,1998,https://doi.org/10.1046/j.1365-2656.1998.6760930.x,"Alberta, Canada",Nearctic,No,1994-1995,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2 ; Holohil BD-2/B ; Holohil BD-2T,Yes,Yes,NA,0.67,0.9,No,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_083,Flexibility of habitat use in eptesicus nilssonii: Does the species profit from anthropogenically altered habitats?,Research,Journal of Mammalogy,2006,https://doi.org/10.1644/05-MAMM-A-193R1.1,"Lower Saxony, Germany",Palearctic,Yes,2002-2003,Eptesicus nilssonii,Eptesicus,nilssonii,NA,Vespertilionidae,Yes,11,11,11,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,0.64,0.64,0.64,Yes,6.1,6.1,6.1,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_083,Flexibility of habitat use in eptesicus nilssonii: Does the species profit from anthropogenically altered habitats?,Research,Journal of Mammalogy,2006,https://doi.org/10.1644/05-MAMM-A-193R1.1,"Lower Saxony, Germany",Palearctic,Yes,2002-2003,Eptesicus nilssonii,Eptesicus,nilssonii,NA,Vespertilionidae,Yes,9,8,9,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,0.64,0.64,0.64,Yes,NA,7.1,8,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_083,Flexibility of habitat use in eptesicus nilssonii: Does the species profit from anthropogenically altered habitats?,Research,Journal of Mammalogy,2006,https://doi.org/10.1644/05-MAMM-A-193R1.1,"Lower Saxony, Germany",Palearctic,Yes,2002-2003,Eptesicus nilssonii,Eptesicus,nilssonii,NA,Vespertilionidae,Yes,11,8,14,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,0.64,0.64,0.64,Some,NA,4.7,8.5,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_083,Flexibility of habitat use in eptesicus nilssonii: Does the species profit from anthropogenically altered habitats?,Research,Journal of Mammalogy,2006,https://doi.org/10.1644/05-MAMM-A-193R1.1,"Lower Saxony, Germany",Palearctic,Yes,2002-2003,Eptesicus nilssonii,Eptesicus,nilssonii,NA,Vespertilionidae,Yes,8,8,8,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,0.64,0.64,0.64,Yes,8.5,8.5,8.5,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_084,Small scale activity patterns of eptesicus nilssonii ‚äì an indication of habitat preference or interspecific processes,Research,Acta Chiropterologica,2007,http://dx.doi.org/10.3161/1733-5329(2007)9%5B503:SSAPOE%5D2.0.CO;2,"Lower Saxony, Germany",Palearctic,Yes,2002-2003,Eptesicus nilssonii,Eptesicus,nilssonii,NA,Vespertilionidae,Yes,11,8,14,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,0.64,0.64,0.64,Some,<8.5,4.7,NA,No,NA,Co-authors,Co-authors
